nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
Ceea ce ma nemultumeste la sistemul fiscal romanesc este ca nu se investesc banii in spitale scoli si alte institutii publice.,As incerca sa administrez intr-un alt fel banii.,Nu prea multe.,0,0,0,cee nemultumest sist fiscal roman este invest ban spital scol alte instit public,incerc administr intr un ban,pre mult
taxe şi impozite prea mari şi prea multe,aş reduce numarul taxelor,îmi oferă servicii publice,0,0,1,tax impoz pre mar pre mult,reduc numar tax,ofer servic public
"Numărul mare de taxe fiscale și parafiscale, birocrația excesivă este una dintre problemele grave ale României care se manifestă și în raporturile fiscale și de asemenea evaziunea fiscală, potrivit Consiliului Fiscal în România evaziunea fiscala este foarte ridicată. ","Dacă aș fi Ministrul Finanțelor Publice, sistemul fiscal românesc are nevoie de mai multa stabilitate, transparență și încredere, de asemenea eficientizarea și informatizarea sistemului de administrație fiscală pentru a ajunge la un aparat fiscal rapid și flexibil încât să ducă la îmbunătățirea contribuției fiscalității la stimularea României pe plan internațional în competitivitate. O birocrație mai puțin excesivă, reducerea numărului de taxe și impozite, încurajarea investițiilor  precum și facilitatea unui dialog eficient și coerent intre autoritățile fiscale și contribuabili care ar putea fi un plus în creșterea competitivității României.","În prezent sistemul fiscal ne oferă reducerea cotei standard de TVA și cota redusă la alimente, cota impozitului din dividende a scăzut de la 16% la 5%, eliminarea taxei hoteliere, introducerea unor noi clădiri în categoria celor scutite de impozit.",0,1,0,numar mar tax fiscal parafiscal birocrat exces este dintr problem grav roman car manifest raportur fiscal asemen evaziun fiscal potriv consil fiscal roman evaziun fiscal este foart ridic,dac ministr finant public sist fiscal roman nevoi mult stabil transparent incred asemen eficientiz informatiz sist administrat fiscal pentru ajung apar fiscal rapid flexibil incat duc imbunatat contribut fiscalitat stimul roman plan international compet birocrat putin exces reduc numar tax impoz incuraj investit precum facil unu dialog eficient coerent intre autoritat fiscal contribu car put plus crest competitivitat roman,prezent sist fiscal ofer reduc cote standard cot redus aliment cot impoz dividend scazut elimin taxe hotelier introduc unor cladir categor celor scutit impoz
-,-,-,1,1,1,,,
Este aiurea,TOT!,Necaz,0,1,0,este aiur,,necaz
"Platim 5,5% contributiile la asigurarile sociale de sanatate dar cand avem nevoie de servicii sanitare nu prea se simte contributia noastra.","As taia Mai multi taxe la care eu una nu le vad rostul,de exemplu taxa pe stalp, supra-taxa pe carburanti.",Ofera un echilibru intre politia economica since sociala a statului.,0,0,1,plat contrib asigurar social sanat cand avem nevoi servic sanit pre simt contribut noastr,tai mult tax car rost exemplu tax stalp supra tax carbur,ofer echilibru intre polit econom sinc social stat
Impozitele si accizele prea mari in comparatie cu cele ale altor state mai dezvoltate decat Romania. ,As diminua impozitele directe,Sistemul fiscal actual contribuie la dezvoltarea economico-sociala. ,0,0,1,impoz acciz pre mar comparat cel altor stat dezvolt decat roman,diminu impoz direct,sist fiscal actual contribui dezvolt economico social
Pentru ca sistemul fiscal romanesc nu este dezvoltat ca si tarile vest.,Sterg impozite de teren si impozitul de case,-,0,0,1,pentru sist fiscal roman este dezvolt tar vest,sterg impoz teren impoz cas,
Impunerea a prea multor taxe si impozite.,Diferite legi si hotarari cu privire la taxe si impozite.,NU tocmai ce ne-am dori.,0,1,0,impun pre multor tax impoz,difer leg hotarar priv tax impoz,tocm ne am dor
"La sistemul fiscal romanesc ma nemultumeste faptul ca nu e deajuns de eficient si simplu, si nu predomina autoimpunerea.",Daca ar fi sa schimb sistemul fiscal asi opta ca sistemul sa fie astfel orientat incat sa beneficieze de o structura organizatorica mai optima.," sistemului fiscal capata valente deosebite in conditiile economiei de piata, cand metodele centralizate trebuie sa faca loc unor parghii economice si financiare pe care statul sa le foloseasca in relatiile sale cu agentii economici.",0,0,1,sist fiscal roman nemultumest fapt deajuns eficient simplu predomin autoimpun,dac schimb sist fiscal opta sist astfel orient incat beneficiez structur organizator optim,sist fiscal capat valent deoseb condit econom piat cand metod centraliz trebui fac unor pargh econom financiar car stat foloseasc relat sal agent econom
Repartizarea,Alocare mai mare pt dezvoltarea economica,Decenta,1,1,0,repartiz,aloc mar dezvolt econom,decent
Se pune accent pe relatii,As incerca sa fiu mai corect,Nu stiu,0,0,0,pun accent relat,incerc corect,stiu
"faptul ca majoritatea oamenilor care ajung acolo sus,vor sa o duca bine ei iar din cauza aceea sistemul fiscal romanesc este ineficient","verificari mult mai dese,amenzi foarte mari..atat de mari incat individul sa scoata bani din banca sa isi achite datoriile...","nimic bun,prea multe impozite inexplicabile..",0,0,0,fapt major oamen car ajung acolo duc bin cauz ace sist fiscal roman este ineficient,verificar mult des amenz foart mari at mar incat individ scoat ban banc achit dator,nimic pre mult impoz inexplicabile 
Prea multe impozite,L-as face mai transparent pentru a sti cetateanul exact in ce domeniu se utilizeaza banii sai.,"In opinia mea, sistemul fiscal actual ofera o sursa de dezvoltare a comunitatii in care traiesc.",0,1,1,pre mult impoz,l as fac transparent pentru cetatean exact domeniu utilizeaz ban,opin sist fiscal actual ofer surs dezvolt comun car trai
Nu am siguranta ca toti banii proveniti din taxe merg acolo unde trebuie.,M-as asigura ca fiecare plateste taxe.,Nesiguranta,1,0,0,sigur tot ban proven tax merg acolo unde trebui,m as asigur fiec platest tax,nesigur
"-Lipsa transparenței referitoare la modul de cheltuire a banului public
- Neînțelegerea de către cetățean a sistemului fiscal (De ce trebuie să dau bani la stat?)
- Utilizarea ineficientă a resurselor bugetare","În primul rând l-aș face transparent și pe înțelesul tuturor.
Aș introduce o raportare sistematică a cheltuielilor publice către cetățeni cu scopul de a le câștiga încrederea.
Aș repartiza fondurile publice în funcție de nevoile publice ",Acces la serviciile publice și susținerea anumitor sisteme necesare funcționării statului.,0,0,1, lips transparente refer mod cheltu ban public neinteleg catr cetatean sist fiscal trebui ban stat utiliz ineficient resur buget,prim rand l as fac transparent inteles tuturor introduc raport sistemat cheltuiel public catr cetaten scop castig incred repartiz fondur public funct nevo public,acces servic public sustin anum sistem neces functionar stat
Ca persoanele care sunt comandate pentru frauda fiscala raman cu averile.,"As investii mai mult in infrastructura, si le-as acorda benefici mari noilor companii care vor sa intre pe piata.",Servicile publice de care se beneficiaza toti cetateni.,1,1,1,persoan car sunt comand pentru fraud fiscal raman aver,invest mult infrastructur le as acord benef mar noilor compan car intre piat,servic public car beneficiaz tot cetaten
"Lipsa transparentei, taxe si impozite prea mari","Adaptarea taxelor la veniturile contribuabililor,asigurarea unei stabilitati a legislatiei fiscale,imbunatatirea gradului de colectare a impozitelor si taxelor,adoptarea unor masuri fiscale care sa motiveze munca,o mai buna informare a contribuabililor cu privire la cheltuirea banilor publici, scaderea taxelor.","Servicii publice in ceea ce priveste educatia, sanatatea, cultura; taxe si impozite mari; nesiguranta.",0,1,0,lips transparente tax impoz pre mar,adapt tax venitur contribu asigur une stabil legisl fiscal imbunatat grad colect impoz tax adopt unor masur fiscal car motiv munc bun inform contribu priv cheltu ban public scad tax,servic public cee privest educat sanat cultur tax impoz mar nesigur
"Gradul de incertitudine privind sistemul fiscal românesc este foarte mare. Gradul  de stabilitate și de încredere, în schimb, este foarte mic la noi în țară. 
Repercursiunea și evaziunea fiscală. 
Sistemul fiscal ar trebui să se modernizeze, să ofere posibilitatea cetățenilor să poată să efectueze cât mai multe operațiuni economico-financiare, pentru a fi reduse cozile interminabile de la ghișee.","Aș încerca să modelez sistemul fiscal romănesc după alte sisteme fiscale care sunt eficiente în alte țări. 
O mai bună transparență a veniturilor și cheltuielilor publice. 
O predictibilitate mai bună și mai eficienta 
Reducerea repercursiunii fiscale și a evaziunii fiscale. 
Impozite și taxe mai mari pentru rau platnici, amenzi, penalizări. 
Modernizarea sistemului fiscal romănesc.","În urma tuturor impozitelor și taxelor pe care le platesc, sistemul fiscal îmi oferă anumite servicii personale, ajută orașul în care locuiesc să crească și să se dezvolte, domeniul sănătății, educației și cercetării, transporturilor, turismului, etc. ",0,0,1,grad incertitudin priv sist fiscal roman este foart mar grad stabil incred schimb este foart tar repercursiun evaziun fiscal sist fiscal treb moderniz ofer posibil cetaten poat efectu mult operatiun economico financiar pentru redus coz intermin ghise,incerc model sist fiscal roman dup alte sistem fiscal car sunt eficient alte tar bun transparent venitur cheltuiel public predict bun eficient reduc repercursiun fiscal evaziun fiscal impoz tax mar pentru platnic amenz penalizar moderniz sist fiscal roman,urma tuturor impoz tax car plat sist fiscal ofer anum servic personal ajut oras car locui creasc dezvolt domen sanatat educat cercetar transportur turism
"Faptul că, chiar dacă se modifica sistemul fiscal, nu este pus în practică imediată sau nu sunt verificate îndeajuns urmările acestor modificări.",Eu aș încerca să restabilesc încrederea populației în sistemul fiscal.,"Ocazia de a contribui la bugetul statului, ne oferă unele servicii, ne scutește de unele taxe în anumite cazuri, ne oferă subvenții.",0,1,1,fapt chiar dac modif sist fiscal este practic imed sunt verific indeajuns urmar acestor modificar,incerc restabil incred populat sist fiscal,ocaz contrib buget stat ofer une servic scutest une tax anum cazur ofer subvent
"Nu există o oarecare transparență, încât fiecare cetățean să știe ce anume se face cu banii, la ce sunt folosiți. Probe clare, nu doar vorbe.","Dacă aș fi ministrul finanțelor publice as face mai multe pentru cetățeni, aș folosi mai mulți în investițiile publice.","În momentul actual, sistemul fiscal nu oferă mare lucru, decât chiar minimu obligatoriu.",0,1,1,exist oarec transparent incat fiec cetatean stie anum fac ban sunt folosit prob clar doar vorb,dac ministr finant public fac mult pentru cetaten folos mult investit public,moment actual sist fiscal ofer mar lucru decat chiar minimu obligatoriu
faptul ca toata lumea plateste acelasi procent de taxe indifferent de salarii.,"as lupta impotriva coruptiei;
reducerea procentului de impozit pentru student.
","asigurare medicala;
scutirea platii taxei la universitate.",0,0,1,fapt toat lum platest acelas procent tax indifferent salar,lupt impotr corupt reduc procent impoz pentru student,asigur medic scut plat taxe univers
Nu pot spune ca ma nemultumeste ceva la sistemul fiscal romanesc,"-As crea un sistem de transe cu ajutorul carora cetatenii ar putea sa-si plateasca impozitul dupa venitul pe care il au
-As acorda mau multe subventii pentru proiecte tinerilor care isi doresc un viitor in tara lor",Locuri de munca,0,1,1,spun nemultumest cev sist fiscal roman,cre sist tran ajutor caror cetaten put sa s plateasc impoz dup venit car acord mult subvent pentru proiect tiner car doresc viitor tar,locur munc
Momentan sut multumita de acest sistem,Nu,"1. au caracter obligatoriu, ceea ce presupune ca toate persoanele fizice și/sau juridice care realizează venituri dintr-o anumită sursă sau posedă un anumit gen de avere să participe prin impozite la constituirea fondurilor generale ale statului;

2. sunt plăți către stat cu titlu definitiv și nerambursabil, în sensul că odată făcute, ele sunt utilizate numai la finanțarea unor acțiuni și obiective necesare membrilor societății;



",1,0,0,momentan multum acest sist,,caracter obligatoriu cee presupun toat persoan fizic si s jurid car realiz venitur dintr o anum surs posed anum aver particip prin impoz constitu fondur general stat sunt plat catr stat titlu defin neramburs sens odat facut sunt utiliz numa finant unor actiun obiect neces membr societat
"La sistemul fiscal romanesc, ma nemultumeste taxele mari pe care le avem de platit catre stat.",Daca as fi ministrul finantelor as creste gradul de transparenta referitor la cheltuirea banului public.,In opinia mea sistemul fiscal actual ne ofera speranta ca platim anumite servicii publice de care putem beneficia la un moment dat.,0,0,0,sist fiscal roman nemultumest tax mar car avem platit catr stat,dac ministr finant crest grad transparent refer cheltu ban public,opin sist fiscal actual ofer sperant plat anum servic public car put benefic moment
-,Control nu egal cu amenda!! ,-,1,0,1,,control egal amend,
Prea multe taxe,Nimic,Beneficii,0,0,1,pre mult tax,nimic,benef
Multe taxe şi impozite.,Totul.,Cam nimic.,0,1,0,mult tax impoz,tot,nimic
Taxele si impozitele prea mari si puse pentru orice.,As scadea taxele si unele le-as anula.,Nimic pozitiv.,0,0,0,tax impoz pre mar pus pentru oric,scad tax une le as anul,nimic pozit
Prea multe taxe raportat la ceea ce ofera statul în acest moment,Aş încerca să iau măsuri pentru a creşte transparenţa privind modul în care sunt folosiţi banii proveniţi de la contribuabili,În momentl de faţă îmi oferă accesul gratuit la sitemul public de sănatate şi anumite scutiri/reduceri.,1,0,0,pre mult tax raport cee ofer stat acest moment,incerc masur pentru crest transparent priv mod car sunt folos ban proven contribu,momentl fat ofer acces gratuit sit public sanat anum scutiri reducer
Nu ajuta asa de mult pt firme noi ,casă de marcat online,mare șansă pentru pedepse,0,1,1,ajut mult firm,cas marcat onlin,mar sans pentru pedep
Schimbarea repetata a Codului Fiscal.,Nu stiu.,Taxe si impozite.,0,0,0,schimb repet cod fiscal,stiu,tax impoz
prea multe taxe si prea mari,TOT,"Nimic bun,  taxe si impozite tot mai mari si nimic in avantajul contribuabilului",0,1,0,pre mult tax pre mar,,nimic tax impoz mar nimic avantaj contribu
Taxele relativ mari în comparație  cu veniturile cetățenilor. ,Reducerea taxelor și impozitelor. ,O oarecare certitudine în ceea ce privește protecția socială.  ,0,0,0,tax relat mar comparat venitur cetaten,reduc tax impoz,oarec certitudin cee privest protect social
Taxele si impozitele pe care le platesc si nu beneficiez de servicii decente.,Alocarea bugetelor.,Multe taxe si impozite.,0,0,0,tax impoz car plat beneficiez servic decent,aloc buget,mult tax impoz
" Birocratia excesiva,numarul mare de taxe fiscale si parafiscale, nivelul mare al taxelor,evaziunea fiscala.","A-si simplifica legislatia si  raportarile fiscale,  implementa un mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe,
A-si reduce numarul taxelor care va duce la scaderea costurilor de administrare, ceea ce inseamna economii la buget.","Prin plata impozitelor si a altor taxe,acesta ne creeaza o infrastructura mai buna,investitii in infrumusetarea oraselor,dar si lucruri mai putin bune,ca cele scriese la punctul 11",0,1,0,birocrat exces numar mar tax fiscal parafiscal nivel mar tax evaziun fiscal,a si simplif legislat raportar fiscal implement calc simplu usor inteles atat pentru contrib social pentru impoz tax a si reduc numar tax car duc scad costur administr cee inseamn econom buget,prin plat impoz altor tax acest creeaz infrastructur bun invest infrumuset ora lucrur putin bun cel scrie punct
"In urma taxelor si impozitelor platite, cetateanul nu beneficeaza de servicii publice de calitate, asa cum ar trebuii, etc.","Investitii publice pentru dezvoltarea socio-economica, etc.","Teoretic multe, practic prea putin in raport cu taxele si impozitele platite :)",0,1,0,urma tax impoz platit cetatean beneficeaz servic public calitat trebui,invest public pentru dezvolt socio econom,teoret mult practic pre putin raport tax impoz platit
"Ma nemultumeste faptul ca statul nu foloseste banii, care ii incaseaza in urma aplicarii taxelor si impozitelor, asupra salariilor, profitului etc., in modul cel mai bun si benefic pentru cetatenii statului.","As schimba modul de repartitie a banilor. As pune mai mult accept pe crearea unor conditii mai bune in domeniul invatamantului, medicinei.",Sistemul fiscal actual ne ofera multe taxe si impozite,0,0,0,nemultumest fapt stat folosest ban car incaseaz urma aplicar tax impoz asupr salar profit etc mod benef pentru cetaten stat,schimb mod repartit ban pun mult accept crear unor condit bun domen invatam medicine,sist fiscal actual ofer mult tax impoz
Nu m.am lovit încă de el ..probabil punerea taxelor si impozitelor pe toate bunurile,Multe,Nimic,0,1,0,m am lovit inca .probabil puner tax impoz toat bunur,mult,nimic
Frauda.,TOT !,Prea multe impozite şi taxe.,0,1,0,fraud,,pre mult impoz tax
"Impozite mari , ma nemultumeste cota fixa per venit , care este aceeasi atat la cei care castiga putin cat si la cei cu castiguri de ordinul mai multor zero-uri!","In primul rand as schimba modul in care se distribuie banii din bugetul statului si in functie de utilitatea institutiei as acorda mai mult sau mai putin din buget. 
Cota progresiva per profit ar fi primul lucru care l-as schimba, undeva intre 11% si 50% ,maxim pentru veniturile foarte mari. Si cel mai mult as opta pentru un sistem asemanator celui din Franta.",Ne ofera unele servicii gratuite pe care tot le platim mai tarziu sau prin alte mijloace.,0,0,0,impoz mar nemultumest cot fix venit car este aceeas atat car castig putin castigur ordin multor zero ur,prim rand schimb mod car distribui ban buget stat funct util instit acord mult putin buget cot progres profit prim lucru car l as schimb undev intre max pentru venitur foart mar mult opta pentru sist aseman celu frant,ofer une servic gratuit car plat tarziu prin alte mijloac
"Faptul ca impozitele sunt prea mari si prea multe, nefiind proportionale cu serviciile oferite in schimb de către stat. ","Eu nu aș fi redus TVA-ul întrucât este un impozit indirect a cărui povară nu e atat de evidentă, precum cea a impozitelor directe, care pe deasupra s-au majorat în momentul de față. ",Imi oferă aceleași preturi mari la produse chiar daca teoretic acestea ar fi trebuit sa scadă odată cu reducerea cotei de TVA. Imi oferă o cheltuire inoportună (zic eu) a banului public și lipsă de incredere în oamenii care spun ca au pregătirea necesară pentru a gestiona acest sistem fiscal. ,0,0,0,fapt impoz sunt pre mar pre mult nefiind proportional servic ofer schimb catr stat,redus tva intrucat este impoz indirect caru povar atat evident precum impoz direct car deasupr s au major moment fat,ofer aceleas pretur mar prod chiar dac teoret acest trebuit scad odat reduc cote ofer cheltu inoportun ban public lips incred oamen car spun pregat neces pentru gestion acest sist fiscal
Modul de comunicare intre sistemul fiscal romanesc cu alte institutii publice. De exemplu cu CAS ,"Reducerea taxelor si impozitelor, stimularea cetatenilor de a ramane in tara prin crearea unor locuri de munca ofertante.",Nimic in afara de taxe si impozite,1,0,0,mod comunic intre sist fiscal roman alte instit public exemplu,reduc tax impoz stimul cetaten raman tar prin crear unor locur munc ofert,nimic afar tax impoz
"Nu imi place faptul ca in tara noastra nu se ofera destule locuri de munca cetatenilor, ceea ce printr-un sistem fiscal mai coerent ar fi mult mai simplu. ","Mi-as dori sa schimb sistemul fiscal astfel incat oamenii sa nu plateasca diferitele impozite si taxe din obligatie, ci din dorinta, care se stabileste prin incredere, deci as vrea sa creez un mediu in care cetatenii au incredere in acest sistem. ","Eu cred ca putem sa spunem ca ne ofera serviciile sociale de care avem nevoie, dar nu intr-o masura foarte mare, si la acest lucru ar mai fi de dezvoltat si de imbunatatit.",0,1,0,plac fapt tar noastr ofer destul locur munc cetaten cee printr un sist fiscal coerent mult simplu,mi as dor schimb sist fiscal astfel incat oamen plateasc difer impoz tax obligat dorint car stabilest prin incred dec vre creez mediu car cetaten incred acest sist,cred put spun ofer servic social car avem nevoi intr o masur foart mar acest lucru dezvolt imbunatat
"In momentul de fata, noile legi aduse in ceea ce priveste PFA-ul.","As anula noile legi referitor la PFA, ca ele sa ramane acelea de anul trecut.","Dupa parerea mea imi ofera o infrastructura mai buna, un oras mai civilizat, si practic tot ceea ce tine de dezvoltarea si mentinerea orasului mai curat caci din banii pe care  ii platesc eu la stat se platesc cheltuielile statului printre care se enumera si cele de mai sus.",1,1,1,moment fat noil leg adu cee privest pfa ,anul noil leg refer raman acel an trecut,dup parer ofer infrastructur bun oras civiliz practic cee tin dezvolt mentin oras curat cac ban car plat stat plat cheltuiel stat printr car enumer cel
taxe prea mari,micsorarea taxelor la firmele mici si mijlocii,taxe si impozite,0,1,1,tax pre mar,micsor tax firm mic mijloc,tax impoz
Coruptia si noile masuri introduse in legatura cu PFA,Modul de administrare si distributie a banilor si a controalelor ulterioare.,"Nimic bun pentru noi,doar beneficii pentru ei.",0,1,0,corupt noil masur introd legatur,mod administr distribut ban controal ulterioar,nimic pentru doar benef pentru
serviciile de slaba calitate pe care le ofera,as acorda o atentie deosebita spitalelor si scolilor dar si personalului care lucreaza in aceste institutii,servicii de slaba calitate,0,1,0,servic slab calitat car ofer,acord atent deoseb spital scol personal car lucreaz acest instit,servic slab calitat
Lipsa de transparenta,As reduce taxele si impozitele pentru a stimula consumul,In sistemul fiscal actual cred ca taxle sunt prea mari,0,1,0,lips transparent,reduc tax impoz pentru stimul consum,sist fiscal actual cred taxl sunt pre mar
Lipsa unui cadru legislativ predictibil. ,As simplifica legislatia si raportarile fiscale,Prea putina stabilitate si predictibilitate,0,0,0,lips unu cadru legisl predict,simplif legislat raportar fiscal,pre putin stabil predict
Calitatea slaba a serviciilor de sanatate. (Finantarea prea putina pentru acest serviciu). ,As pune pe primul plan sanatatea si educatiea.,"Posibilitatea de a beneficia serviciile institutiilor publice, in mod gratuit.",0,1,1,calitat slab servic sanat finant pre putin pentru acest serviciu,pun prim plan sanat educat,posibil benefic servic instit public gratuit
