incredere_sist_fiscal,parere_sist_fiscal,TRANSPARENCY,VALUE FOR MONEY,ECONOMICAL,TRUST,SOCIAL WELFARE,WORK PLACE CREATION,SOCIO-ECONOMIC DEVELOPMENT,STABILITY,PREDICTIBILITY,FIN_INSP,FINES,CLEAR_LAW,FISC_FACIL,SUBV,INVEST_TAX,Q_PUBLIC_SV,PUBLIC_INV,TRANSP,nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,motivare_incredere_sist_fiscal,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,motivare_incredere_sist_fiscal_sentiment,overall_sentiment_all_responses
0,1,5,4,4,5,4,5,4,5,4,3,3,4,3,4,4,4,5,5,Ceea ce ma nemultumeste la sistemul fiscal romanesc este ca nu se investesc banii in spitale scoli si alte institutii publice.,As incerca sa administrez intr-un alt fel banii.,Nu prea multe.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,0,1,0
1,3,4,3,3,5,5,5,5,3,3,3,3,4,5,5,5,3,1,2,taxe şi impozite prea mari şi prea multe,aş reduce numarul taxelor,îmi oferă servicii publice,"Pentru că îmi oferă servicii de protecție socială, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,0,1,0
1,4,4,4,4,5,4,5,5,5,4,4,4,4,4,5,4,5,4,4,"Numărul mare de taxe fiscale și parafiscale, birocrația excesivă este una dintre problemele grave ale României care se manifestă și în raporturile fiscale și de asemenea evaziunea fiscală, potrivit Consiliului Fiscal în România evaziunea fiscala este foarte ridicată. ","Dacă aș fi Ministrul Finanțelor Publice, sistemul fiscal românesc are nevoie de mai multa stabilitate, transparență și încredere, de asemenea eficientizarea și informatizarea sistemului de administrație fiscală pentru a ajunge la un aparat fiscal rapid și flexibil încât să ducă la îmbunătățirea contribuției fiscalității la stimularea României pe plan internațional în competitivitate. O birocrație mai puțin excesivă, reducerea numărului de taxe și impozite, încurajarea investițiilor  precum și facilitatea unui dialog eficient și coerent intre autoritățile fiscale și contribuabili care ar putea fi un plus în creșterea competitivității României.","În prezent sistemul fiscal ne oferă reducerea cotei standard de TVA și cota redusă la alimente, cota impozitului din dividende a scăzut de la 16% la 5%, eliminarea taxei hoteliere, introducerea unor noi clădiri în categoria celor scutite de impozit.","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,0,1,0
1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,-,-,-,"Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat",1,1,1,1,1
0,1,4,4,4,5,4,5,5,5,3,4,3,4,5,5,3,5,4,4,Este aiurea,TOT!,Necaz,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,0,1,0
1,3,3,4,3,4,4,3,4,4,3,3,2,4,3,4,3,4,3,3,"Platim 5,5% contributiile la asigurarile sociale de sanatate dar cand avem nevoie de servicii sanitare nu prea se simte contributia noastra.","As taia Mai multi taxe la care eu una nu le vad rostul,de exemplu taxa pe stalp, supra-taxa pe carburanti.",Ofera un echilibru intre politia economica since sociala a statului.,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
0,3,4,4,5,5,4,5,4,5,4,4,5,5,5,5,5,5,5,4,Impozitele si accizele prea mari in comparatie cu cele ale altor state mai dezvoltate decat Romania. ,As diminua impozitele directe,Sistemul fiscal actual contribuie la dezvoltarea economico-sociala. ,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
0,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,3,Pentru ca sistemul fiscal romanesc nu este dezvoltat ca si tarile vest.,Sterg impozite de teren si impozitul de case,-,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
1,3,3,4,3,4,4,5,5,3,4,4,2,5,3,4,4,5,2,5,Impunerea a prea multor taxe si impozite.,Diferite legi si hotarari cu privire la taxe si impozite.,NU tocmai ce ne-am dori.,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,0,1,0
1,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,5,4,4,"La sistemul fiscal romanesc ma nemultumeste faptul ca nu e deajuns de eficient si simplu, si nu predomina autoimpunerea.",Daca ar fi sa schimb sistemul fiscal asi opta ca sistemul sa fie astfel orientat incat sa beneficieze de o structura organizatorica mai optima.," sistemului fiscal capata valente deosebite in conditiile economiei de piata, cand metodele centralizate trebuie sa faca loc unor parghii economice si financiare pe care statul sa le foloseasca in relatiile sale cu agentii economici.","Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat",0,0,1,1,0
1,3,5,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,4,4,Repartizarea,Alocare mai mare pt dezvoltarea economica,Decenta,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,1,0,1
0,3,3,4,4,5,4,5,5,5,4,2,2,5,3,5,5,4,3,3,Se pune accent pe relatii,As incerca sa fiu mai corect,Nu stiu,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,0,0,0
0,1,3,5,3,5,4,5,5,5,4,4,5,4,4,3,2,5,5,1,"faptul ca majoritatea oamenilor care ajung acolo sus,vor sa o duca bine ei iar din cauza aceea sistemul fiscal romanesc este ineficient","verificari mult mai dese,amenzi foarte mari..atat de mari incat individul sa scoata bani din banca sa isi achite datoriile...","nimic bun,prea multe impozite inexplicabile..",Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,0,0,0
0,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,Prea multe impozite,L-as face mai transparent pentru a sti cetateanul exact in ce domeniu se utilizeaza banii sai.,"In opinia mea, sistemul fiscal actual ofera o sursa de dezvoltare a comunitatii in care traiesc.","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
1,4,3,4,3,4,5,5,5,4,3,4,5,4,3,5,4,4,5,3,Nu am siguranta ca toti banii proveniti din taxe merg acolo unde trebuie.,M-as asigura ca fiecare plateste taxe.,Nesiguranta,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,1,1,0,0,1
1,3,5,4,4,5,5,4,5,4,4,2,3,4,4,4,5,5,5,5,"-Lipsa transparenței referitoare la modul de cheltuire a banului public
- Neînțelegerea de către cetățean a sistemului fiscal (De ce trebuie să dau bani la stat?)
- Utilizarea ineficientă a resurselor bugetare","În primul rând l-aș face transparent și pe înțelesul tuturor.
Aș introduce o raportare sistematică a cheltuielilor publice către cetățeni cu scopul de a le câștiga încrederea.
Aș repartiza fondurile publice în funcție de nevoile publice ",Acces la serviciile publice și susținerea anumitor sisteme necesare funcționării statului.,Am siguranța că banii pe care îi plătesc la stat sunt utilizați conform prevederilor legale și este un sistem transparent.,0,1,1,1,1
1,4,3,5,2,5,5,4,4,4,3,2,5,4,2,4,3,4,4,4,Ca persoanele care sunt comandate pentru frauda fiscala raman cu averile.,"As investii mai mult in infrastructura, si le-as acorda benefici mari noilor companii care vor sa intre pe piata.",Servicile publice de care se beneficiaza toti cetateni.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,1,1,1
0,1,4,4,4,5,5,5,5,5,3,4,2,4,4,5,4,5,4,5,"Lipsa transparentei, taxe si impozite prea mari","Adaptarea taxelor la veniturile contribuabililor,asigurarea unei stabilitati a legislatiei fiscale,imbunatatirea gradului de colectare a impozitelor si taxelor,adoptarea unor masuri fiscale care sa motiveze munca,o mai buna informare a contribuabililor cu privire la cheltuirea banilor publici, scaderea taxelor.","Servicii publice in ceea ce priveste educatia, sanatatea, cultura; taxe si impozite mari; nesiguranta.","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,1,1,1
1,4,5,5,5,5,5,5,5,5,5,4,3,4,4,5,3,5,5,4,"Gradul de incertitudine privind sistemul fiscal românesc este foarte mare. Gradul  de stabilitate și de încredere, în schimb, este foarte mic la noi în țară. 
Repercursiunea și evaziunea fiscală. 
Sistemul fiscal ar trebui să se modernizeze, să ofere posibilitatea cetățenilor să poată să efectueze cât mai multe operațiuni economico-financiare, pentru a fi reduse cozile interminabile de la ghișee.","Aș încerca să modelez sistemul fiscal romănesc după alte sisteme fiscale care sunt eficiente în alte țări. 
O mai bună transparență a veniturilor și cheltuielilor publice. 
O predictibilitate mai bună și mai eficienta 
Reducerea repercursiunii fiscale și a evaziunii fiscale. 
Impozite și taxe mai mari pentru rau platnici, amenzi, penalizări. 
Modernizarea sistemului fiscal romănesc.","În urma tuturor impozitelor și taxelor pe care le platesc, sistemul fiscal îmi oferă anumite servicii personale, ajută orașul în care locuiesc să crească și să se dezvolte, domeniul sănătății, educației și cercetării, transporturilor, turismului, etc. ","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",1,1,1,1,1
1,3,4,5,5,4,4,4,5,5,4,3,2,3,4,5,4,5,4,4,"Faptul că, chiar dacă se modifica sistemul fiscal, nu este pus în practică imediată sau nu sunt verificate îndeajuns urmările acestor modificări.",Eu aș încerca să restabilesc încrederea populației în sistemul fiscal.,"Ocazia de a contribui la bugetul statului, ne oferă unele servicii, ne scutește de unele taxe în anumite cazuri, ne oferă subvenții.",Pentru că îmi oferă servicii de protecție socială,0,0,1,1,0
1,3,5,4,5,5,5,5,4,5,4,4,5,5,4,4,4,5,4,5,"Nu există o oarecare transparență, încât fiecare cetățean să știe ce anume se face cu banii, la ce sunt folosiți. Probe clare, nu doar vorbe.","Dacă aș fi ministrul finanțelor publice as face mai multe pentru cetățeni, aș folosi mai mulți în investițiile publice.","În momentul actual, sistemul fiscal nu oferă mare lucru, decât chiar minimu obligatoriu.","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,0,1,0
1,1,4,3,5,5,4,5,5,5,3,5,3,3,5,4,4,3,3,5,faptul ca toata lumea plateste acelasi procent de taxe indifferent de salarii.,"as lupta impotriva coruptiei;
reducerea procentului de impozit pentru student.
","asigurare medicala;
scutirea platii taxei la universitate.",Pentru că îmi oferă servicii de protecție socială,1,1,1,1,1
1,4,4,5,5,4,5,5,5,5,4,5,4,4,5,5,4,4,4,4,Nu pot spune ca ma nemultumeste ceva la sistemul fiscal romanesc,"-As crea un sistem de transe cu ajutorul carora cetatenii ar putea sa-si plateasca impozitul dupa venitul pe care il au
-As acorda mau multe subventii pentru proiecte tinerilor care isi doresc un viitor in tara lor",Locuri de munca,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,1,1,1
1,4,4,4,4,5,4,4,4,5,4,3,3,4,4,4,4,4,4,4,Momentan sut multumita de acest sistem,Nu,"1. au caracter obligatoriu, ceea ce presupune ca toate persoanele fizice și/sau juridice care realizează venituri dintr-o anumită sursă sau posedă un anumit gen de avere să participe prin impozite la constituirea fondurilor generale ale statului;

2. sunt plăți către stat cu titlu definitiv și nerambursabil, în sensul că odată făcute, ele sunt utilizate numai la finanțarea unor acțiuni și obiective necesare membrilor societății;



",Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,1,0,0,0,0
0,1,4,4,4,5,3,5,4,4,4,3,3,5,4,5,4,5,4,5,"La sistemul fiscal romanesc, ma nemultumeste taxele mari pe care le avem de platit catre stat.",Daca as fi ministrul finantelor as creste gradul de transparenta referitor la cheltuirea banului public.,In opinia mea sistemul fiscal actual ne ofera speranta ca platim anumite servicii publice de care putem beneficia la un moment dat.,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,1,0,0
1,3,4,4,3,2,5,5,2,5,4,4,3,4,2,5,5,3,2,4,-,Control nu egal cu amenda!! ,-,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,1,0,1,1,1
1,5,4,4,5,5,4,5,5,4,4,4,4,4,5,5,4,4,4,5,Prea multe taxe,Nimic,Beneficii,Pentru că îmi oferă servicii de protecție socială,0,0,1,1,0
0,4,4,5,5,5,5,4,5,5,4,4,4,4,4,5,5,5,5,5,Multe taxe şi impozite.,Totul.,Cam nimic.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,1,1,0,1,1
0,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,Taxele si impozitele prea mari si puse pentru orice.,As scadea taxele si unele le-as anula.,Nimic pozitiv.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,0,1,0
1,3,4,3,4,4,5,5,4,4,4,3,2,5,4,2,4,5,5,5,Prea multe taxe raportat la ceea ce ofera statul în acest moment,Aş încerca să iau măsuri pentru a creşte transparenţa privind modul în care sunt folosiţi banii proveniţi de la contribuabili,În momentl de faţă îmi oferă accesul gratuit la sitemul public de sănatate şi anumite scutiri/reduceri.,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,0,0,1,0
1,4,3,4,4,3,3,4,3,5,3,3,3,4,4,4,4,5,3,4,Nu ajuta asa de mult pt firme noi ,casă de marcat online,mare șansă pentru pedepse,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,1,1,1
0,3,3,4,5,4,3,5,5,5,3,3,2,2,4,3,3,5,5,4,Schimbarea repetata a Codului Fiscal.,Nu stiu.,Taxe si impozite.,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,1,0,0
0,1,5,3,4,5,4,5,5,5,3,2,1,4,5,5,5,5,3,3,prea multe taxe si prea mari,TOT,"Nimic bun,  taxe si impozite tot mai mari si nimic in avantajul contribuabilului",Pentru că îmi oferă servicii de protecție socială,0,1,0,1,0
1,3,5,5,4,5,5,5,5,5,4,3,4,5,5,5,4,5,5,5,Taxele relativ mari în comparație  cu veniturile cetățenilor. ,Reducerea taxelor și impozitelor. ,O oarecare certitudine în ceea ce privește protecția socială.  ,"Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat",0,1,1,1,1
0,3,5,5,4,4,4,5,4,5,3,4,4,5,3,5,4,5,5,5,Taxele si impozitele pe care le platesc si nu beneficiez de servicii decente.,Alocarea bugetelor.,Multe taxe si impozite.,Nu am,0,0,1,0,0
1,4,4,4,4,4,4,5,4,5,4,3,4,4,4,3,4,4,4,4," Birocratia excesiva,numarul mare de taxe fiscale si parafiscale, nivelul mare al taxelor,evaziunea fiscala.","A-si simplifica legislatia si  raportarile fiscale,  implementa un mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe,
A-si reduce numarul taxelor care va duce la scaderea costurilor de administrare, ceea ce inseamna economii la buget.","Prin plata impozitelor si a altor taxe,acesta ne creeaza o infrastructura mai buna,investitii in infrumusetarea oraselor,dar si lucruri mai putin bune,ca cele scriese la punctul 11","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",1,1,1,1,1
1,4,5,5,5,5,5,5,5,5,5,3,3,4,4,4,5,5,5,4,"In urma taxelor si impozitelor platite, cetateanul nu beneficeaza de servicii publice de calitate, asa cum ar trebuii, etc.","Investitii publice pentru dezvoltarea socio-economica, etc.","Teoretic multe, practic prea putin in raport cu taxele si impozitele platite :)","Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,0,1,0
1,4,5,4,5,5,5,5,4,5,4,4,4,4,4,4,3,3,4,5,"Ma nemultumeste faptul ca statul nu foloseste banii, care ii incaseaza in urma aplicarii taxelor si impozitelor, asupra salariilor, profitului etc., in modul cel mai bun si benefic pentru cetatenii statului.","As schimba modul de repartitie a banilor. As pune mai mult accept pe crearea unor conditii mai bune in domeniul invatamantului, medicinei.",Sistemul fiscal actual ne ofera multe taxe si impozite,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,1,1,1
1,4,3,4,4,5,5,5,4,5,3,2,4,3,5,3,3,5,3,4,Nu m.am lovit încă de el ..probabil punerea taxelor si impozitelor pe toate bunurile,Multe,Nimic,Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic,0,1,0,1,0
0,3,3,3,3,5,5,4,5,5,3,1,3,3,2,2,4,5,5,3,Frauda.,TOT !,Prea multe impozite şi taxe.,"Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,1,0,1,0
0,1,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,"Impozite mari , ma nemultumeste cota fixa per venit , care este aceeasi atat la cei care castiga putin cat si la cei cu castiguri de ordinul mai multor zero-uri!","In primul rand as schimba modul in care se distribuie banii din bugetul statului si in functie de utilitatea institutiei as acorda mai mult sau mai putin din buget. 
Cota progresiva per profit ar fi primul lucru care l-as schimba, undeva intre 11% si 50% ,maxim pentru veniturile foarte mari. Si cel mai mult as opta pentru un sistem asemanator celui din Franta.",Ne ofera unele servicii gratuite pe care tot le platim mai tarziu sau prin alte mijloace.,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,1,0,0,0
0,3,5,4,4,4,5,5,5,5,4,1,2,2,4,5,4,5,5,5,"Faptul ca impozitele sunt prea mari si prea multe, nefiind proportionale cu serviciile oferite in schimb de către stat. ","Eu nu aș fi redus TVA-ul întrucât este un impozit indirect a cărui povară nu e atat de evidentă, precum cea a impozitelor directe, care pe deasupra s-au majorat în momentul de față. ",Imi oferă aceleași preturi mari la produse chiar daca teoretic acestea ar fi trebuit sa scadă odată cu reducerea cotei de TVA. Imi oferă o cheltuire inoportună (zic eu) a banului public și lipsă de incredere în oamenii care spun ca au pregătirea necesară pentru a gestiona acest sistem fiscal. ,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat,0,0,1,0,0
0,1,5,2,3,5,4,5,4,5,4,1,2,3,5,5,5,4,5,5,Modul de comunicare intre sistemul fiscal romanesc cu alte institutii publice. De exemplu cu CAS ,"Reducerea taxelor si impozitelor, stimularea cetatenilor de a ramane in tara prin crearea unor locuri de munca ofertante.",Nimic in afara de taxe si impozite,"Pentru că îmi oferă servicii de protecție socială, Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",1,1,0,1,1
1,4,3,4,3,4,4,5,5,5,3,3,2,4,4,5,4,5,4,3,"Nu imi place faptul ca in tara noastra nu se ofera destule locuri de munca cetatenilor, ceea ce printr-un sistem fiscal mai coerent ar fi mult mai simplu. ","Mi-as dori sa schimb sistemul fiscal astfel incat oamenii sa nu plateasca diferitele impozite si taxe din obligatie, ci din dorinta, care se stabileste prin incredere, deci as vrea sa creez un mediu in care cetatenii au incredere in acest sistem. ","Eu cred ca putem sa spunem ca ne ofera serviciile sociale de care avem nevoie, dar nu intr-o masura foarte mare, si la acest lucru ar mai fi de dezvoltat si de imbunatatit.","Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat, Pentru că din banii mei se asigură serviciile publice administrative de care avem nevoie într-un stat democratic",0,0,1,1,0
