1. Ce vă nemulțumește la sistemul fiscal românesc?,2. Dacă ați fi ministrul finanțelor publice ce ați schimba la sistemul fiscal românesc?,"3. În opinia dumneavoastră, ce vă oferă sistemul fiscal actual?"
Ceea ce ma nemultumeste la sistemul fiscal romanesc este ca nu se investesc banii in spitale scoli si alte institutii publice.,As incerca sa administrez intr-un alt fel banii.,Nu prea multe.
taxe şi impozite prea mari şi prea multe,aş reduce numarul taxelor,îmi oferă servicii publice
"Numărul mare de taxe fiscale și parafiscale, birocrația excesivă este una dintre problemele grave ale României care se manifestă și în raporturile fiscale și de asemenea evaziunea fiscală, potrivit Consiliului Fiscal în România evaziunea fiscala este foarte ridicată. ","Dacă aș fi Ministrul Finanțelor Publice, sistemul fiscal românesc are nevoie de mai multa stabilitate, transparență și încredere, de asemenea eficientizarea și informatizarea sistemului de administrație fiscală pentru a ajunge la un aparat fiscal rapid și flexibil încât să ducă la îmbunătățirea contribuției fiscalității la stimularea României pe plan internațional în competitivitate. O birocrație mai puțin excesivă, reducerea numărului de taxe și impozite, încurajarea investițiilor  precum și facilitatea unui dialog eficient și coerent intre autoritățile fiscale și contribuabili care ar putea fi un plus în creșterea competitivității României.","În prezent sistemul fiscal ne oferă reducerea cotei standard de TVA și cota redusă la alimente, cota impozitului din dividende a scăzut de la 16% la 5%, eliminarea taxei hoteliere, introducerea unor noi clădiri în categoria celor scutite de impozit."
-,-,-
Este aiurea,TOT!,Necaz
"Platim 5,5% contributiile la asigurarile sociale de sanatate dar cand avem nevoie de servicii sanitare nu prea se simte contributia noastra.","As taia Mai multi taxe la care eu una nu le vad rostul,de exemplu taxa pe stalp, supra-taxa pe carburanti.",Ofera un echilibru intre politia economica since sociala a statului.
Impozitele si accizele prea mari in comparatie cu cele ale altor state mai dezvoltate decat Romania. ,As diminua impozitele directe,Sistemul fiscal actual contribuie la dezvoltarea economico-sociala. 
Pentru ca sistemul fiscal romanesc nu este dezvoltat ca si tarile vest.,Sterg impozite de teren si impozitul de case,-
Impunerea a prea multor taxe si impozite.,Diferite legi si hotarari cu privire la taxe si impozite.,NU tocmai ce ne-am dori.
"La sistemul fiscal romanesc ma nemultumeste faptul ca nu e deajuns de eficient si simplu, si nu predomina autoimpunerea.",Daca ar fi sa schimb sistemul fiscal asi opta ca sistemul sa fie astfel orientat incat sa beneficieze de o structura organizatorica mai optima.," sistemului fiscal capata valente deosebite in conditiile economiei de piata, cand metodele centralizate trebuie sa faca loc unor parghii economice si financiare pe care statul sa le foloseasca in relatiile sale cu agentii economici."
Repartizarea,Alocare mai mare pt dezvoltarea economica,Decenta
Se pune accent pe relatii,As incerca sa fiu mai corect,Nu stiu
"faptul ca majoritatea oamenilor care ajung acolo sus,vor sa o duca bine ei iar din cauza aceea sistemul fiscal romanesc este ineficient","verificari mult mai dese,amenzi foarte mari..atat de mari incat individul sa scoata bani din banca sa isi achite datoriile...","nimic bun,prea multe impozite inexplicabile.."
Prea multe impozite,L-as face mai transparent pentru a sti cetateanul exact in ce domeniu se utilizeaza banii sai.,"In opinia mea, sistemul fiscal actual ofera o sursa de dezvoltare a comunitatii in care traiesc."
Nu am siguranta ca toti banii proveniti din taxe merg acolo unde trebuie.,M-as asigura ca fiecare plateste taxe.,Nesiguranta
"-Lipsa transparenței referitoare la modul de cheltuire a banului public
- Neînțelegerea de către cetățean a sistemului fiscal (De ce trebuie să dau bani la stat?)
- Utilizarea ineficientă a resurselor bugetare","În primul rând l-aș face transparent și pe înțelesul tuturor.
Aș introduce o raportare sistematică a cheltuielilor publice către cetățeni cu scopul de a le câștiga încrederea.
Aș repartiza fondurile publice în funcție de nevoile publice ",Acces la serviciile publice și susținerea anumitor sisteme necesare funcționării statului.
Ca persoanele care sunt comandate pentru frauda fiscala raman cu averile.,"As investii mai mult in infrastructura, si le-as acorda benefici mari noilor companii care vor sa intre pe piata.",Servicile publice de care se beneficiaza toti cetateni.
"Lipsa transparentei, taxe si impozite prea mari","Adaptarea taxelor la veniturile contribuabililor,asigurarea unei stabilitati a legislatiei fiscale,imbunatatirea gradului de colectare a impozitelor si taxelor,adoptarea unor masuri fiscale care sa motiveze munca,o mai buna informare a contribuabililor cu privire la cheltuirea banilor publici, scaderea taxelor.","Servicii publice in ceea ce priveste educatia, sanatatea, cultura; taxe si impozite mari; nesiguranta."
"Gradul de incertitudine privind sistemul fiscal românesc este foarte mare. Gradul  de stabilitate și de încredere, în schimb, este foarte mic la noi în țară. 
Repercursiunea și evaziunea fiscală. 
Sistemul fiscal ar trebui să se modernizeze, să ofere posibilitatea cetățenilor să poată să efectueze cât mai multe operațiuni economico-financiare, pentru a fi reduse cozile interminabile de la ghișee.","Aș încerca să modelez sistemul fiscal romănesc după alte sisteme fiscale care sunt eficiente în alte țări. 
O mai bună transparență a veniturilor și cheltuielilor publice. 
O predictibilitate mai bună și mai eficienta 
Reducerea repercursiunii fiscale și a evaziunii fiscale. 
Impozite și taxe mai mari pentru rau platnici, amenzi, penalizări. 
Modernizarea sistemului fiscal romănesc.","În urma tuturor impozitelor și taxelor pe care le platesc, sistemul fiscal îmi oferă anumite servicii personale, ajută orașul în care locuiesc să crească și să se dezvolte, domeniul sănătății, educației și cercetării, transporturilor, turismului, etc. "
"Faptul că, chiar dacă se modifica sistemul fiscal, nu este pus în practică imediată sau nu sunt verificate îndeajuns urmările acestor modificări.",Eu aș încerca să restabilesc încrederea populației în sistemul fiscal.,"Ocazia de a contribui la bugetul statului, ne oferă unele servicii, ne scutește de unele taxe în anumite cazuri, ne oferă subvenții."
"Nu există o oarecare transparență, încât fiecare cetățean să știe ce anume se face cu banii, la ce sunt folosiți. Probe clare, nu doar vorbe.","Dacă aș fi ministrul finanțelor publice as face mai multe pentru cetățeni, aș folosi mai mulți în investițiile publice.","În momentul actual, sistemul fiscal nu oferă mare lucru, decât chiar minimu obligatoriu."
faptul ca toata lumea plateste acelasi procent de taxe indifferent de salarii.,"as lupta impotriva coruptiei;
reducerea procentului de impozit pentru student.
","asigurare medicala;
scutirea platii taxei la universitate."
Nu pot spune ca ma nemultumeste ceva la sistemul fiscal romanesc,"-As crea un sistem de transe cu ajutorul carora cetatenii ar putea sa-si plateasca impozitul dupa venitul pe care il au
-As acorda mau multe subventii pentru proiecte tinerilor care isi doresc un viitor in tara lor",Locuri de munca
Momentan sut multumita de acest sistem,Nu,"1. au caracter obligatoriu, ceea ce presupune ca toate persoanele fizice și/sau juridice care realizează venituri dintr-o anumită sursă sau posedă un anumit gen de avere să participe prin impozite la constituirea fondurilor generale ale statului;

2. sunt plăți către stat cu titlu definitiv și nerambursabil, în sensul că odată făcute, ele sunt utilizate numai la finanțarea unor acțiuni și obiective necesare membrilor societății;



"
"La sistemul fiscal romanesc, ma nemultumeste taxele mari pe care le avem de platit catre stat.",Daca as fi ministrul finantelor as creste gradul de transparenta referitor la cheltuirea banului public.,In opinia mea sistemul fiscal actual ne ofera speranta ca platim anumite servicii publice de care putem beneficia la un moment dat.
-,Control nu egal cu amenda!! ,-
Prea multe taxe,Nimic,Beneficii
Multe taxe şi impozite.,Totul.,Cam nimic.
Taxele si impozitele prea mari si puse pentru orice.,As scadea taxele si unele le-as anula.,Nimic pozitiv.
Prea multe taxe raportat la ceea ce ofera statul în acest moment,Aş încerca să iau măsuri pentru a creşte transparenţa privind modul în care sunt folosiţi banii proveniţi de la contribuabili,În momentl de faţă îmi oferă accesul gratuit la sitemul public de sănatate şi anumite scutiri/reduceri.
Nu ajuta asa de mult pt firme noi ,casă de marcat online,mare șansă pentru pedepse
Schimbarea repetata a Codului Fiscal.,Nu stiu.,Taxe si impozite.
prea multe taxe si prea mari,TOT,"Nimic bun,  taxe si impozite tot mai mari si nimic in avantajul contribuabilului"
Taxele relativ mari în comparație  cu veniturile cetățenilor. ,Reducerea taxelor și impozitelor. ,O oarecare certitudine în ceea ce privește protecția socială.  
Taxele si impozitele pe care le platesc si nu beneficiez de servicii decente.,Alocarea bugetelor.,Multe taxe si impozite.
" Birocratia excesiva,numarul mare de taxe fiscale si parafiscale, nivelul mare al taxelor,evaziunea fiscala.","A-si simplifica legislatia si  raportarile fiscale,  implementa un mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe,
A-si reduce numarul taxelor care va duce la scaderea costurilor de administrare, ceea ce inseamna economii la buget.","Prin plata impozitelor si a altor taxe,acesta ne creeaza o infrastructura mai buna,investitii in infrumusetarea oraselor,dar si lucruri mai putin bune,ca cele scriese la punctul 11"
"In urma taxelor si impozitelor platite, cetateanul nu beneficeaza de servicii publice de calitate, asa cum ar trebuii, etc.","Investitii publice pentru dezvoltarea socio-economica, etc.","Teoretic multe, practic prea putin in raport cu taxele si impozitele platite :)"
"Ma nemultumeste faptul ca statul nu foloseste banii, care ii incaseaza in urma aplicarii taxelor si impozitelor, asupra salariilor, profitului etc., in modul cel mai bun si benefic pentru cetatenii statului.","As schimba modul de repartitie a banilor. As pune mai mult accept pe crearea unor conditii mai bune in domeniul invatamantului, medicinei.",Sistemul fiscal actual ne ofera multe taxe si impozite
Nu m.am lovit încă de el ..probabil punerea taxelor si impozitelor pe toate bunurile,Multe,Nimic
Frauda.,TOT !,Prea multe impozite şi taxe.
"Impozite mari , ma nemultumeste cota fixa per venit , care este aceeasi atat la cei care castiga putin cat si la cei cu castiguri de ordinul mai multor zero-uri!","In primul rand as schimba modul in care se distribuie banii din bugetul statului si in functie de utilitatea institutiei as acorda mai mult sau mai putin din buget. 
Cota progresiva per profit ar fi primul lucru care l-as schimba, undeva intre 11% si 50% ,maxim pentru veniturile foarte mari. Si cel mai mult as opta pentru un sistem asemanator celui din Franta.",Ne ofera unele servicii gratuite pe care tot le platim mai tarziu sau prin alte mijloace.
"Faptul ca impozitele sunt prea mari si prea multe, nefiind proportionale cu serviciile oferite in schimb de către stat. ","Eu nu aș fi redus TVA-ul întrucât este un impozit indirect a cărui povară nu e atat de evidentă, precum cea a impozitelor directe, care pe deasupra s-au majorat în momentul de față. ",Imi oferă aceleași preturi mari la produse chiar daca teoretic acestea ar fi trebuit sa scadă odată cu reducerea cotei de TVA. Imi oferă o cheltuire inoportună (zic eu) a banului public și lipsă de incredere în oamenii care spun ca au pregătirea necesară pentru a gestiona acest sistem fiscal. 
Modul de comunicare intre sistemul fiscal romanesc cu alte institutii publice. De exemplu cu CAS ,"Reducerea taxelor si impozitelor, stimularea cetatenilor de a ramane in tara prin crearea unor locuri de munca ofertante.",Nimic in afara de taxe si impozite
"Nu imi place faptul ca in tara noastra nu se ofera destule locuri de munca cetatenilor, ceea ce printr-un sistem fiscal mai coerent ar fi mult mai simplu. ","Mi-as dori sa schimb sistemul fiscal astfel incat oamenii sa nu plateasca diferitele impozite si taxe din obligatie, ci din dorinta, care se stabileste prin incredere, deci as vrea sa creez un mediu in care cetatenii au incredere in acest sistem. ","Eu cred ca putem sa spunem ca ne ofera serviciile sociale de care avem nevoie, dar nu intr-o masura foarte mare, si la acest lucru ar mai fi de dezvoltat si de imbunatatit."
"In momentul de fata, noile legi aduse in ceea ce priveste PFA-ul.","As anula noile legi referitor la PFA, ca ele sa ramane acelea de anul trecut.","Dupa parerea mea imi ofera o infrastructura mai buna, un oras mai civilizat, si practic tot ceea ce tine de dezvoltarea si mentinerea orasului mai curat caci din banii pe care  ii platesc eu la stat se platesc cheltuielile statului printre care se enumera si cele de mai sus."
taxe prea mari,micsorarea taxelor la firmele mici si mijlocii,taxe si impozite
Coruptia si noile masuri introduse in legatura cu PFA,Modul de administrare si distributie a banilor si a controalelor ulterioare.,"Nimic bun pentru noi,doar beneficii pentru ei."
serviciile de slaba calitate pe care le ofera,as acorda o atentie deosebita spitalelor si scolilor dar si personalului care lucreaza in aceste institutii,servicii de slaba calitate
Lipsa de transparenta,As reduce taxele si impozitele pentru a stimula consumul,In sistemul fiscal actual cred ca taxle sunt prea mari
Lipsa unui cadru legislativ predictibil. ,As simplifica legislatia si raportarile fiscale,Prea putina stabilitate si predictibilitate
Calitatea slaba a serviciilor de sanatate. (Finantarea prea putina pentru acest serviciu). ,As pune pe primul plan sanatatea si educatiea.,"Posibilitatea de a beneficia serviciile institutiilor publice, in mod gratuit."
"Prea multe taxe si impozite si prea multe schimbari legislative,lipsa de predictibilitate.","As face un sistem de impozitare mai aerisit,mai acceptabil de catre contibuabili.As percepe un singur impozit pt toate bunurile detinute de o persoana fizica ,pe care individul sa-l plateasca la inceputul anului.Mai ales pt firme as face la fel,fiecare firma sa stie ca trebuia o  singura data pe an sa-si plateasca datoriile fata de stat si in rest sa se preocupe de dezvoltarea afacerii.","Teoretic de toate (servicii medicale,de securitate,educatie etc) practic ....nervi si batai de cap"
Neincrederea,Nu stiu,Nu prea multe
"Nu incurajeaza intocmirea de afaceri, ci mai degraba determina o crestere a economiei subterane. Multi investitori se tem sa inceapa noi afaceri datorita instabilitatii sistemului fiscal (modificarea cotelor la diferite impozite, aplicarea a unor noi taxe). De asemenea, serviciile oferite de stat,nu sunt la nivelul contributiilor/taxelor/impozitelor platite de populatie.
Exista si o problema legat de siguranta (totusi prea repede sa ne gandim, noi ca studenti) in ceea ce priveste sistemul de pensii din care statul se serveste, profitand de faptul ca oamenii sunt mult mai interesati de aceste contributii in sanatate, pensii, somaj, decat in  plata obligatiilor neramburasabile, impozitele.
Eu consider ca statul roman nu este cel care urmareste sa investeasca in autostrazii, institutii publice, ci mai degraba un consumator care se lupta cu salariile bugetarilor, cu majorarea salariilor celor ,,sus-pusi``,etc.",As incerca sa investesc mai mult si sa reduc cheltuieleile cu personalul (care au o pondere foarte mare in totalul cheltuielilor).,"Simple servicii publice, dar siguranta nu prea, cel putin eu consider ca atata timp cat la conducere se perinda profesionisti care sunt doar obsedati de ideea de aduce ceva nou fara insa, a studia ceea ce s-a stabilit inainte, finantele vor fii intr-o continua miscare si modificare. "
de la an la an creste impozitul,as stabilii  cota si aia ar ramane pentru tot deauna sau as scoate impozitele de tot ,batai de cap
Impozite prea mari,"Cresterea venitului brut, micsorarea impozitului pe venit si a taxelor",Anumite servicii
Nu stiu,Depinde de ce se intampla concret acolo.,Plati si cateva beneficii
Promptitudinea.,Salariile și condițiile ,Birocrație excesiva .
Plata taxelor si a impozitelor ridicate.,REDUCEREA NUMĂRULUI DE TAXE ŞI IMPOZITE!!,"Impactul asupra dezvoltării și siguranței naționale.
O societate civilizată."
Taxele mult prea mari si impozitele,As reduce numarul taxelor fiscale ,Nimic
"Nu pot sa vorbesc in mod subiectiv, deoarece nu am avut contact direct cu ceea ce se practica in sistemul nostru fiscal actual. Ceea ce pot spune, vine dintr-o perpectiva obiectiva, din ceea ce aud din partea celor din jur, si anume: taxe si impozite prea mari, comparabil cu alte tari. Intr-adevar taxa TVA a scazut, dar cu cat ? 4%. O valoare care nu se resimte, poate de aceea membrii societatii nu isi aduc contributia benevol si la timp.","O intrebare dificila, dat fiind faptul ca nu am avut ocazia sa ""cochetez"", sa spun asa, cu notiunea de finante, respectiv fiscalitate, si toate cele ce tin de sistemul acesta. Dar, presupunand ideea ca as ajunge ministru de finante, se presupune si faptul ca as cunoaste intreaga variatate a codului fiscal, si a celorlalte norme legale ce tin de acest domeniul al finantelor. In mod concret nu pot raspunde ce reglemantari noi as aduce, insa ceea ce as face, avand cunostintele necesare, ar fi sa actionez din punct de vedere al meu, ca si persoana individuala, in concordanta cu ceilalti, si nu din perpectiva functiei detinute, respectiv a puterii ce revine odata cu functia. Pentru ca in drumul spre detinerea inaltor functii, umanitate se pierde, dar nu ar trebui sa uitam ca binele celorlalti conduce spre binele nostru, spre un bine ""comun"".
Politica fiscala ar trebui sa se orienteze mai mult inspre stabilitate, transparenta si predictibilitate. In plus, am avea nevoie de un aparat fiscal mai flexibil care să ducă la îmbunătăţirea contribuţiei fiscalităţii.","Stabilitate? Din nemultumirea oamenilor, presupun ca nu. Incredere? Nici asta. Da, nevoia unui sistem fiscal in echilibrarea economiei unei tari exista. Insa, din ceea ce comenteaza cei din jur, cel actual nu se bazeaza pe normele morale care ar trebui sa il predomine, pe langa cele legale. A scazut Tva, cu doar 4%(e un pas inainte), dar eu cred ca avem nevoie de mult mai mult de atat pentru a avea parte de stabilitate. Stabilitatea ar trebui sa vizeze binele comun, atat a celor ce se afla la conducere(si trag sforile) cat si a celor ce suporta consecintele actiunilor celor mentionati anterior. Nu ma pot pronunta asupra ce ne ofera, pentru ca nu am gasit inca un raspuns concret, dar am precizat mai sus, in mica parte, ce ar trebui sa ne ofere, in vederea echilibrarii balantei. "
"Taxe si impozite foarte mari, iar serviciile oferite in schimb sunt de proasta calitate sau chiar inexistente.",Investirea banilor in crearea de locuri de munca.,Incearca sa ofere populatiei un mediu sigur.
Sistemul fiscal romanesc= birocratie. Acest exces de acte de care un cetatean are nevoie pentru a realiza ceva este prea mult. Eliminarea lor ar duce la o mai buna functionare a acestuia. ,"Multe lucruri ar trebui schimbate pentru ca acesta sa functioneze bine si corect, dar ceea ce as face in primul rand as incerca sa fac ca toata lumea sa respecte legea. Daca acest lucru s-ar intamplat atunci sistemul nostru fiscal ar fi mult mai bun. O schimbare care eu as face-o ar fi sa reduc aceasta birocratie. ","Pe langa faptul ca platim regulat taxele si impozitele impuse, sistemul fiscal incearca sa ofere serviciile de care ifecare cetatean are nevoie.Ca studenta deocamdata acesta nu imi ofera prea multe servicii.  "
Taxe prea mari,Impozite date in functie de venitul fiecarei persoane,"Asigurarilor voluntare de sanatate, primele suportate de companie pentru angajatii proprii."
taxe si accize mari in special la carburanti,obiectul impozitului,finantare de actiuni si obiective necesare societatii
Faptul ca sistemul fiscal nu privilegiaza oamenii saraci. ,As ajuta infiintarea mai usoara a intreprinderilor mici.,Reducerea TVA-ului. Dezvoltarea infrastructurii oraselor.
"Angajații plătesc sume uriașe de 65% din ce câștigă prin impozitare directă și indirectă, deși România nu are salariați.
Cel mai bine ar fi scăderea cotei unice la 10% a contribuțiilor sociale .
Nu avem politicieni care să ințeleagă economia și fiscalitatea în rostul si esența lor.","Impunerea de constrângeri tari rău-platnicilor și diminuarea nivelului nominal al impozitelor pe partea de venituri ar trebui să aducă lărgirea bazei de aplicare și creșterea eficienței în colectare.
Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.
Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă.","Stabilește ordinea în care debitele înregistrare de contribuabili vor fi stinse de către autorităţile fiscale, după ce procedura fusese modificată şi pe parcursul anilor trecuţi de Guvern, prin intermediul mai multor acte normative care nu mai sunt în vigoare de la începutul anului 2016. "
Cheltuielile bugetare imense pentru care explicatiile sun vagi .,"As incerca sa i-l fac pe cetatean sa aiba mai multa incredere in sistemul fiscal romanesc, as oferii o mai mare transparenta in privirea cheltuielilor bugetare si nu in cele din urma as incerca sa fac din Romania o tara mai prospera in care cetateanu sa nu se simta furat si ajutat.",Sincer sa fiu nu observ mari benificii.
După părerea mea sunt prea multe taxe si impozite.,"Aș scădea taxele si impozitele, aș crea mai multe locuri de muncă și as mări salariile.",Servicii publice
Coruptia,modul de administrare al bugetelor,o mica parte din tot ceea de colecteaza ei defapt 
"Foarte multi romani sunt plecati la munca in strainatate si ei vin in Romania destul de rar...de ce sa plateasca asigurare mediacala in 2 tari ? 
ei plec acolo sa isi castige existenta...cu sacrificii..fiind nevoiti sa isi lase aici copiii sau o parte din familie.","As emite legi in favoarea contribuabililor
",am muncit de cand am terminat clasa a 12a in fiecare vacanta...parintii mei sunt simpli muncitori la o fabrica de pantofi...nu stiu ce imi ofera...imi ofera un salar minim pe economie..din care se trag taxele aferente...si incerc sa ma descurc cu acel salar..adica nu doar eu...
Taxele sunt exagerat de mari raportate la nivelul salariilor,"In opinia mea unele taxe nu isi au rostul , cum e taxa de mediu , este inuman sa-ti cumperi o masina si sa platesti taxa de mediu, de prima inmatriculate cat valoarea masinii sau poate in unele cazuri mai mult decat masina...",Taxe si impozite :)
"Țara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.
La impozitul total pe profitul companiilor, România are o cotă situată sub media europeană.","Sistemul fiscal din România ar putea fi îmbunătăţit prin asigurarea unui cadru legislativ stabil şi predictabil, fără multe modificări legislative , situaţie care va putea ajuta investitorii să-şi planifice în avans şi cu accurateţe operaţiunile desfăşurate în România
Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă.","Echilibru financiar la nivel de cheltuieli bugetare.

Asigură serviciile publice administrative de care avem nevoie într-un stat democratic."
Ne sunt furati prea multi bani. ,Mai putine taxe. ,Dezvoltarea economiei 
Taxe mult prea ridicate,"Neimpozitarea  profitului realizat din exploatarea unor capacitați noi de producție ( in primii 2 ani, in orice domeniu) si o cota mobila de TVA ",Stabilitate
Frauda,As schimba aproapte totul.,"Un set de ""reguli""si norme care trebuiesc respectate."
In momentul actual din punctul meu de vedere cred ca exista prea multe impozite care se aplica in Romania iar cei care vor sa isi deschida o afacere ar trebui sa aiba parte de mai multe oportunitati din partea statului.,"Nu as incerca sa schimb nimic , poate doar sa il imbunatatesc , deoarece chiar daca un impozit ar disparea ar trebui ca alte impozite si taxe sa creasca pentru ca sistemul fiscal sa ramana in echilibru.","Sistemul fiscal redirectioneaza banii de la bugetul de stat catre serviciile publice care ar trebui sa foloseasca acei bani pentru dezvoltarea infrastructurii , pentru a oferi servicii de calitate contribuabililor."
Taxele in ceea ce priveste autoturismele sunt prea mari.,"Daca as fi ministrul finantelor publice, as schimba metodele de calcul cu privire la impozitele pe avere.",Nu prea multe facilitati.
"Consider ca actualul sistem fiscal din Romania descurajeaza infiintarea micilor intreprinderi (si nu doar celor mici),prin aparitia de noi taxe si impozite aproape zilnic.","Ca ministrul al finantelor publice,as incerca sa corectez actualul sistem fiscal astfel incat sa se incurajeze mai mult investitiile pe teritoriul Romaniei atat de catre straini dar si de catre romani.",Taxe si impozite.
Ma nemultumeste faptul ca impozitele sunt foarte mari in tara noastra si mi se pare destul de greu sa imi incep o afacere in conditiile unui astfel de sistem fiscal.,As reduce numarul impozitelor cred.,"Momentan, nimic. :)"
utilizarea veniturilor publice nu este transparenta,as incerca echilibrarea impozitelor si taxelor cu serviciile publice oferite,servicii incomplete
unele servicii,organizarea,un anumit nivel de siguranta in domeniul fiscal
Exagerat de multe taxe,"As schimba modul in care statul isi abordeaza cetatenii, care la randul lor sunt lipsiti de incredere si as incerca sa micsorez taxele si impozitele.",Ajuta constituirea fondurilor generale ale statului care mai tarziu sunt utilizate  la finantarea unor obiective pentru membrii societatii.
Nu am nici o nemultumire concreta.,As schimba unele servicii.,Oarecare stabilitate sociala.
Nemulțumiri: taxe si impozite foarte mari!,Dacă aș fi Ministerul finanțelor aș dori să schimb foarte multe si sigur aș incepe de la taxe si impozite.,"In opinia mea sistemul Fiscal actual ne oferă servicii publice de proastă calitate, cu totul că platim taxe si impozite foarte mari!"
Nu incurajeaza  dezvoltarea societati!,Mentalitatea ,Dari catre stat
